"tod","state1","state2","state3","lci1","lci2","lci3","uci1","uci2","uci3","group"
1,0.278969475663489,0.524383617527487,0.196646906809024,0.173885471780197,0.429199155968983,0.128579800972732,0.411997016138175,0.613761575310701,0.279219273965622,1
2,0.279035160790461,0.523945253261873,0.197019585947664,0.173920166690475,0.428784390183987,0.128835475171611,0.412101281607177,0.613293636179306,0.279624744097376,1
3,0.279097876085643,0.523509583000932,0.197392540913424,0.173952751624549,0.428372875808367,0.12909157701501,0.412202218445662,0.612827871375164,0.280030402468473,1
4,0.27915762252706,0.523076611251561,0.197765766221378,0.173983227298646,0.427964614276115,0.129348103857016,0.41229982868002,0.61236428980378,0.280436243881842,1
5,0.279214401223473,0.522646342433665,0.198139256342861,0.174048061790871,0.427559606939374,0.129605053012575,0.412380031575382,0.611902900294344,0.280842263105784,1
6,0.279268213413861,0.522218780880876,0.198513005705262,0.174111300507632,0.427157855069418,0.129862421757226,0.412353811819506,0.611443711599918,0.281248454873729,1
7,0.279319060466908,0.521793930841266,0.198887008691825,0.174172438401861,0.426759359857638,0.130120207326821,0.412324204972344,0.610986732397639,0.281654813883997,1
8,0.279366943880478,0.521371796478074,0.199261259641447,0.174231474541152,0.426364122416513,0.130378406917261,0.412291217693114,0.610531971288933,0.282061334799555,1
9,0.279411865281083,0.52095238187043,0.199635752848486,0.174288408108535,0.425972143780592,0.130637017684225,0.41225485671977,0.610079436799725,0.28246801224779,1
10,0.279453826423346,0.520535691014083,0.200010482562569,0.17434323840228,0.425583424907468,0.130896036742904,0.412215128868171,0.609629137380661,0.282874840820271,1
11,0.279492829189455,0.52012172782214,0.200385442988404,0.174395964835694,0.425197966678745,0.13115546116774,0.412172041031283,0.609181081407343,0.283281815072524,1
12,0.279528875588608,0.519710496125792,0.200760628285599,0.1744465869369,0.424815769901018,0.131415287992159,0.412125600178365,0.608735277180553,0.283688929523812,1
13,0.279561967756461,0.519301999675062,0.201136032568476,0.174495104348608,0.424436835306826,0.131675514208317,0.412075813354179,0.60829173292651,0.28409617865691,1
14,0.279592107954558,0.51889624213954,0.2015116499059,0.174541516827875,0.42406116355563,0.13193613676684,0.412022687678184,0.607850456797098,0.284503556917894,1
15,0.279619298569763,0.518493227109132,0.201887474321104,0.174585824245857,0.423688755234765,0.132197152576571,0.411966230343754,0.607411456870135,0.284911058715925,1
16,0.27964354211368,0.518092958094799,0.202263499791521,0.174628026587539,0.423319610860401,0.132458558504311,0.411906448617393,0.606974741149625,0.285318678423044,1
17,0.279664841222068,0.517695438529315,0.202639720248616,0.17466812395147,0.422953730878502,0.132720351374579,0.411843349837948,0.606540317566023,0.285726410373964,1
18,0.279683198654258,0.517300671768011,0.203016129577731,0.174706116549474,0.42259111566577,0.132982527969356,0.411776941415846,0.606108193976507,0.286134248865876,1
19,0.279698617292548,0.516908661089527,0.203392721617923,0.174742004706358,0.422231765530602,0.133245085027844,0.411707230832319,0.605678378165254,0.286542188158247,1
20,0.279711100141611,0.516519409696575,0.203769490161813,0.174775788859607,0.42187568071403,0.133508019246221,0.411634225638642,0.605250877843716,0.286950222472631,1
21,0.27972065032788,0.516132920716681,0.204146428955437,0.174807469559067,0.421522861390662,0.133771327277403,0.411557933455374,0.604825700650915,0.28735834599248,1
22,0.27972727109894,0.515749197202954,0.204523531698104,0.174837047466622,0.421173307669624,0.134035005730802,0.411478361971608,0.604402854153735,0.287766552862963,1
23,0.279730965822907,0.515368242134841,0.20490079204225,0.174864523355857,0.420827019595488,0.134299051172099,0.411395518944223,0.603982345847195,0.288174837190782,1
24,0.279731737987806,0.514990058418884,0.205278203593309,0.174889898111708,0.420483997149207,0.134563460123004,0.411309412197141,0.603564183154789,0.288583193044003,1
25,0.279729591200941,0.514614648889482,0.205655759909574,0.174913172730114,0.420144240249038,0.134828229061029,0.411220049620593,0.603148373428758,0.288991614451882,1
26,0.279724529188263,0.514242016309658,0.206033454502078,0.174934348317643,0.419807748751464,0.135093354419267,0.411127439170388,0.60273492395042,0.289400095404699,1
27,0.279716555793725,0.51387216337181,0.206411280834463,0.17495342609112,0.419474522452108,0.135358832586159,0.411031588867187,0.602323841930476,0.289808629853596,1
28,0.279705674978645,0.513505092698486,0.206789232322868,0.174970407377244,0.419144561086654,0.135624659905279,0.410932506795786,0.601915134509333,0.290217211710422,1
29,0.279691890821051,0.513140806843136,0.207167302335811,0.174985293612185,0.418817864331747,0.135890832675117,0.410830201104399,0.601508808757429,0.290625834847578,1
30,0.279675207515031,0.512779308290887,0.207545484194082,0.174998086341187,0.418494431805898,0.136157347148861,0.410724680003952,0.601104871675552,0.291034493097872,1
31,0.279655629370071,0.51242059945929,0.207923771170637,0.175008787218149,0.418174263070387,0.136424199534187,0.410615951767383,0.60070333019518,0.291443180254371,1
32,0.279633160810394,0.512064682699107,0.2083021564905,0.175017398005202,0.417857357630153,0.136691385993049,0.410504024728937,0.600304191178814,0.291851890070267,1
33,0.279607806374288,0.511711560295046,0.208680633330665,0.175023920572281,0.417543714934686,0.136958902641476,0.410388907283484,0.599907461420317,0.29226061625874,1
34,0.279579570713442,0.511361234466548,0.209059194820008,0.175028356896674,0.417233334378909,0.13722674554937,0.410270607885827,0.599513147645253,0.292669352492832,1
35,0.27954845859226,0.51101370736854,0.2094378340392,0.17503070906258,0.416926215304058,0.137494910740302,0.410149135050025,0.599121256511239,0.293078092405317,1
36,0.279514474887185,0.510668981092188,0.209816544020627,0.175030979260644,0.416622356998554,0.137763394191322,0.410024497348718,0.59873179460829,0.293486829588587,1
37,0.279477624586013,0.510327057665674,0.210195317748312,0.175029169787489,0.416321758698876,0.138032191832765,0.409896703412457,0.598344768459168,0.293895557594537,1
38,0.279437912787204,0.509987939054946,0.210574148157849,0.175025283045242,0.416024419590422,0.138301299548061,0.409765761929041,0.597960184519749,0.294304269934449,1
39,0.279395344699189,0.509651627164478,0.210953028136332,0.175019321541043,0.415730338808363,0.138570713173549,0.409631681642863,0.597578049179368,0.294712960078897,1
40,0.279349925639672,0.509318123838034,0.211331950522294,0.175011287886554,0.415439515438503,0.138840428498299,0.409494471354253,0.597177797257569,0.295121621457636,1
41,0.279301661034929,0.508987430859416,0.211710908105655,0.175001184797454,0.41515194851812,0.139110441263929,0.409354139918836,0.596768766653741,0.295530247459519,1
42,0.279250556419106,0.508659549953223,0.212089893627671,0.174989015092932,0.414867637036808,0.139380747164433,0.409210696246889,0.596361754508334,0.295938831432398,1
43,0.279196617433506,0.508334482785609,0.212468899780884,0.174974781695162,0.414586579937316,0.139651341846007,0.409064149302707,0.595956768125814,0.296347366683042,1
44,0.279139849825884,0.508012230965031,0.212847919209085,0.17495848762878,0.414308776116374,0.139922220906887,0.408914508103972,0.595553814761638,0.29675584647706,1
45,0.279080259449724,0.507692796042997,0.213226944507278,0.174940306963275,0.414034224425517,0.14019337989718,0.408761781721133,0.595152901622442,0.297164264038825,1
46,0.279017852263527,0.507376179514819,0.213605968221653,0.174908120645181,0.413762923671906,0.140464814318704,0.408605979276784,0.594754035866237,0.297572612551402,1
47,0.278952634330084,0.507062382820359,0.213984982849557,0.174874271339928,0.413494872619137,0.140736519624835,0.408457571673823,0.594357224602585,0.29798088515649,1
48,0.278884611815754,0.50675140734477,0.214363980839475,0.174838762712369,0.413230069988046,0.141008491220356,0.408423060864289,0.59396247489282,0.298389074954357,1
49,0.278813790989736,0.50644325441924,0.214742954591022,0.174801598501161,0.412968514457513,0.141280724461303,0.40838523257081,0.593569793750229,0.298797175003791,1
50,0.278740178223334,0.506137925321738,0.215121896454929,0.174762782518245,0.412710204665252,0.141553214654824,0.408344091927926,0.593179188140265,0.29920517832205,1
51,0.278663779989226,0.505835421277732,0.215500798733041,0.174722318648324,0.412455139208599,0.141825957059041,0.408299644143333,0.592790664980738,0.29961307788482,1
52,0.278584602860725,0.505535743460952,0.215879653678322,0.174680210848335,0.412203316645295,0.142098946882909,0.408251894497371,0.592404231142027,0.300020866626174,1
53,0.27850265351104,0.505238892994097,0.216258453494863,0.174636463146914,0.411954735494258,0.142372179286087,0.408200848342516,0.592019893447284,0.300428537438546,1
54,0.278417938712532,0.504944870949575,0.216637190337892,0.174591079643859,0.411712486537259,0.14264564937881,0.408146511102876,0.591637658672649,0.300836083172701,1
55,0.278330465335968,0.504653678350234,0.217015856313798,0.174544064509586,0.41147428155071,0.142919352221763,0.40808888827369,0.591257533547448,0.301243496637711,1
56,0.278240240349774,0.504365316170071,0.217394443480155,0.174495421984583,0.411239309109402,0.143193282825967,0.408027985420831,0.590879524754414,0.301650770600945,1
57,0.278147270819282,0.504079785334966,0.217772943845751,0.174445156378853,0.411007567568383,0.143467436152655,0.407963808180315,0.590502633618492,0.302057897788055,1
58,0.278051563905981,0.503797086723392,0.218151349370626,0.174393272071361,0.410779055248281,0.143741807113171,0.407896362257807,0.590126273373776,0.302464870882969,1
59,0.277953126866757,0.503517221167129,0.218529651966114,0.17433977350947,0.410553770436032,0.144016390568855,0.407825653428146,0.589752054740837,0.302871682527899,1
60,0.277851967053134,0.503240189451974,0.218907843494891,0.174284665208372,0.410331711385596,0.144291181330948,0.407751687534855,0.589379984287385,0.303278325323338,1
61,0.27774809191052,0.502965992318451,0.219285915771028,0.174187017515327,0.410112876318675,0.14456617416049,0.407674470489667,0.589010068534823,0.30368479182808,1
62,0.277641508977438,0.502694630462508,0.219663860560054,0.174048853912595,0.409897263425417,0.14484136376823,0.407594008272053,0.588642313958483,0.304091074559231,1
63,0.277532225884762,0.502426104536221,0.220041669579017,0.173909116073235,0.409684870865113,0.145116744814534,0.407510306928752,0.588276726987837,0.304497165992236,1
64,0.277420250354955,0.502160415148487,0.220419334496557,0.173767812466021,0.409475696766896,0.145392311909308,0.407423372573307,0.587913314006725,0.304903058560904,1
65,0.277305590201295,0.501897562865716,0.220796846932988,0.173735998554458,0.40926973923042,0.14566805961191,0.4073332113856,0.587552081353579,0.305308744657446,1
66,0.277188253327106,0.501637548212518,0.221174198460374,0.173725245175659,0.409066996326546,0.145943982431084,0.4072398296114,0.587193035321647,0.30571421663251,1
67,0.277068247724987,0.501380371672392,0.221551380602622,0.173712380295039,0.408867466098008,0.146220074824885,0.407143233561903,0.586836182159221,0.306119466795231,1
68,0.276945581476033,0.501126033688387,0.221928384835579,0.173697407521997,0.408671146560081,0.146496331200619,0.407043429613286,0.586443618252926,0.306546787654608,1
