"tod","Late","Exposed","Infected","cosFull","sinFull","cosHalf","sinHalf","group","Fish_id","dwellTime1","dwellTime2","dwellTime3"
18,"0",0,0,0.996917333733128,0.0784590957278449,0.987688340595138,0.156434465040231,"1","F",8.26893376600924,7.83715467597403,6.54999801436725
19,"0",0,0,0.996565502497761,0.0828082075122043,0.986285601537231,0.165047605860678,"1","F",8.26619882328259,7.82320701529784,6.54873308034098
20,"0",0,0,0.996194698091746,0.0871557427476582,0.984807753012208,0.17364817766693,"1","F",8.2634844112024,7.80938979873349,6.54749718140965
21,"0",0,0,0.995804927574662,0.0915016186634024,0.983254907563955,0.182235525492147,"1","F",8.26079056007598,7.79570260222067,6.54629032428238
22,"0",0,0,0.995396198367179,0.095845752520224,0.981627183447664,0.190808995376545,"1","F",8.25811729994393,7.78214500506215,6.54511251555937
23,"0",0,0,0.994968518250912,0.100188061612076,0.97992470462083,0.199367934417197,"1","F",8.25546466058313,7.76871658993468,6.54396376173213
24,"0",0,0,0.994521895368273,0.104528463267653,0.978147600733806,0.207911690817759,"1","F",8.25283267150439,7.75541694289723,6.54284406918487
25,"0",0,0,0.99405633822232,0.108866874851965,0.976296007119933,0.216439613938103,"1","F",8.25022136195616,7.74224565340205,6.54175344419468
26,"0",0,0,0.993571855676587,0.113203213767907,0.974370064785235,0.224951054343865,"1","F",8.24763076092381,7.72920231430248,6.54069189293364
27,"0",0,0,0.993068456954926,0.117537397457838,0.972369920397677,0.233445363855905,"1","F",8.24506089712986,7.71628652186246,6.5396594214676
28,"0",0,0,0.992546151641322,0.121869343405147,0.970295726275996,0.241921895599668,"1","F",8.24251179903672,7.70349787576583,6.53865603575855
29,"0",0,0,0.992004949679715,0.12619896913583,0.968147640378108,0.250380004054441,"1","F",8.23998349484577,7.69083597912368,6.53768174166476
30,"0",0,0,0.99144486137381,0.130526192220052,0.965925826289068,0.258819045102521,"1","F",8.23747601249829,7.67830043848448,6.53673654494082
31,"0",0,0,0.990865897386882,0.134850930273723,0.963630453208623,0.267238376078257,"1","F",8.23498937967702,7.66589086384124,6.53582045123949
32,"0",0,0,0.99026806874157,0.139173100960065,0.961261695938319,0.275637355816999,"1","F",8.2325236238064,7.65360686864005,6.53493346611162
33,"0",0,0,0.98965138681967,0.143492621991179,0.958819734868193,0.284015344703923,"1","F",8.23007877205328,7.64144806978766,6.53407559500647
34,"0",0,0,0.989015863361917,0.147809411129611,0.956304755963035,0.292371704722737,"1","F",8.22765485132777,7.62941408766005,6.53324684327345
35,"0",0,0,0.988361510467761,0.152123386189917,0.953716950748227,0.300705799504273,"1","F",8.22525188828445,7.61750454610956,6.53244721616124
36,"0",0,0,0.987688340595138,0.156434465040231,0.951056516295154,0.309016994374947,"1","F",8.22286990932184,7.60571907247208,6.53167671881965
37,"0",0,0,0.986996366560232,0.160742565603826,0.948323655206199,0.317304656405092,"1","F",8.22050894058452,7.59405729757509,6.53093535629932
38,"0",0,0,0.986285601537231,0.165047605860678,0.945518575599317,0.325568154457157,"1","F",8.21816900796307,7.58251885574464,6.53022313355223
39,"0",0,0,0.985556059058078,0.169349503849025,0.942641491092178,0.333806859233771,"1","F",8.215850137095,7.57110338481198,6.52954005543324
40,"0",0,0,0.984807753012208,0.17364817766693,0.939692620785908,0.342020143325669,"1","F",8.21355235336569,7.55981052612105,6.52888612669881
41,"0",0,0,0.984040697646291,0.177943545473842,0.936672189248398,0.350207381259467,"1","F",8.21127568190832,7.54863992453488,6.52826135200939
42,"0",0,0,0.983254907563955,0.182235525492147,0.933580426497202,0.3583679495453,"1","F",8.209020147606,7.53759122844258,6.52766573592839
