"tod","dstate1","dstate2","dstate3","lci1","lci2","lci3","uci1","uci2","uci3","group"
1,8.32163731251285,8.11102179322211,6.57772350308232,6.12390423124833,5.83787790170329,4.89391983040616,11.1964715540991,10.5220787668344,8.94964875520968,1
2,8.31853830869386,8.094649853688,6.57593721443004,6.12381440096411,5.82896373198427,4.89347322718551,11.1910283939604,10.4994881149886,8.94851838435953,1
3,8.31545924359148,8.07841655411517,6.57417982039397,6.12374086150974,5.82011204585838,4.89304332348829,11.1856085700052,10.4770824145047,8.94741654270135,1
4,8.31240015243907,8.06232141181681,6.57245132981029,6.12368361505188,5.81130607761083,4.89263012884551,11.1802121512927,10.4558032765467,8.94634324205757,1
5,8.3093610701892,8.04636394725594,6.57075175138857,6.12364266360085,5.80258629137427,4.89223365266203,11.1748392064546,10.4354845961462,8.94529849400658,1
6,8.30634203151476,8.03054368405878,6.56908109371193,6.12361800901073,5.79395242680311,4.89185390421512,11.1694898036955,10.4153547024007,8.94428230988369,1
7,8.30334307080966,8.01486014902912,6.56743936523844,6.12360965297942,5.78540422559026,4.89149089265501,11.1641640107942,10.3954129649644,8.94329470078171,1
8,8.30036422218905,7.99931287216145,6.56582657430249,6.12361759704791,5.7769414314727,4.8911446270046,11.1588618951048,10.3756587582201,8.94233567755036,1
9,8.29740551949135,7.98390138665377,6.56424272911568,6.12364184260109,5.76856379023865,4.89081511615978,11.1535835235575,10.3560914612984,8.94140525079783,1
10,8.29446699627829,7.96862522892138,6.5626878377675,6.12368239086716,5.7602710497325,4.89050236888827,11.1483289626598,10.3367104580955,8.94050343089013,1
11,8.29154868583555,7.95348393860877,6.56116190822786,6.12373924291759,5.75206295986138,4.89020639383089,11.1430982784974,10.3175151372897,8.93963022795191,1
12,8.28865062117438,7.93847705860298,6.55966494834615,6.12381239966704,5.74393927260054,4.88992719949961,11.1378915367351,10.2985048923598,8.93878565186664,1
13,8.28577283503159,7.9236041350448,6.55819696585399,6.12390186187334,5.73589974199907,4.88966479427971,11.1327088026184,10.2796791216013,8.93796971227688,1
14,8.28291535987091,7.90886471734098,6.55675796836522,6.12400763013744,5.72794412418565,4.88941918642681,11.1275501409733,10.2610372281423,8.93718241858485,1
15,8.28007822788391,7.89425835817656,6.55534796337747,6.12412970490287,5.72007217737359,4.88919038406951,11.1224156162091,10.2425786199611,8.93642377995221,1
16,8.2772614709902,7.87978461352577,6.55396695827289,6.12426808645628,5.71228366186613,4.88897839520706,11.1173052923177,10.224302709901,8.93569380530032,1
17,8.27446512083884,7.86544304266363,6.55261496031903,6.12442277492676,5.70457834006199,4.88878322771019,11.1122192328756,10.2062089156866,8.93499250331136,1
18,8.27168920880854,7.85123320817684,6.55129197666997,6.12459377028578,5.69695597645994,4.88855393973842,11.1071575010449,10.188296659939,8.93431988242739,1
19,8.26893376600924,7.83715467597403,6.54999801436725,6.12478107234749,5.68941633766354,4.88822445642774,11.1021201595738,10.1705653701903,8.93367595085111,1
20,8.26619882328259,7.82320701529784,6.54873308034098,6.12498468076804,5.68195919238693,4.88791139023998,11.0971072707984,10.1530144788995,8.93306071654638,1
21,8.2634844112024,7.80938979873349,6.54749718140965,6.12520459504578,5.67458431145834,4.8876147496702,11.0921188966433,10.1356434234661,8.93247418723785,1
22,8.26079056007598,7.79570260222067,6.54629032428238,6.12544081452058,5.66729146782561,4.88733454307997,11.0871550986226,10.1184516462452,8.93191637041121,1
23,8.25811729994393,7.78214500506215,6.54511251555937,6.12569333837471,5.66008043655988,4.88707077869703,11.0822159378409,10.1014385945603,8.93138727331393,1
24,8.25546466058313,7.76871658993468,6.54396376173213,6.12596216563148,5.65295099486119,4.88682346461567,11.0773014749948,10.0846037207188,8.93088690295458,1
25,8.25283267150439,7.75541694289723,6.54284406918487,6.12624729515543,5.64590292206112,4.88659260879593,11.0724117703735,10.0679464820241,8.93041526610374,1
26,8.25022136195616,7.74224565340205,6.54175344419468,6.12654872565294,5.63893599962864,4.88637821906371,11.0675468838602,10.0514663407894,8.92997236929314,1
27,8.24763076092381,7.72920231430248,6.54069189293364,6.12686645567099,5.63205001117308,4.88618030311043,11.0627068749327,10.0351627643508,8.92955821881696,1
28,8.24506089712986,7.71628652186246,6.5396594214676,6.12720048359725,5.62524474244843,4.88599886849335,11.057891802665,10.0190352250801,8.92917282073118,1
29,8.24251179903672,7.70349787576583,6.53865603575855,6.12755080766009,5.61851998135748,4.88583392263442,11.0531017257282,10.0030832003978,8.92881618085385,1
30,8.23998349484577,7.69083597912368,6.53768174166476,6.1279174259284,5.61187551795558,4.88568547282084,11.048336702391,9.98730617278411,8.92848830476502,1
31,8.23747601249829,7.67830043848448,6.53673654494082,6.1283003363112,5.60531114445427,4.88555352620464,11.0435967905215,9.97170362979327,8.92818919780678,1
32,8.23498937967702,7.66589086384124,6.53582045123949,6.12869953655721,5.59882665522496,4.88543808980236,11.0388820475883,9.95627506406337,8.92791886508387,1
33,8.2325236238064,7.65360686864005,6.53493346611162,6.1291150242551,5.59242184680259,4.88533917049444,11.0341925306608,9.94101997332977,8.92767731146304,1
34,8.23007877205328,7.64144806978766,6.53407559500647,6.12954679683303,5.58609651788883,4.88525677502573,11.0295282964112,9.92593786043546,8.92746454157317,1
35,8.22765485132777,7.62941408766005,6.53324684327345,6.12999485155829,5.5798504693559,4.88519091000473,11.0248894011144,9.91102823334333,8.92728055980538,1
36,8.22525188828445,7.61750454610956,6.53244721616124,6.13045918553712,5.57368350424962,4.88514158190329,11.0202759006504,9.89629060514685,8.92712537031359,1
37,8.22286990932184,7.60571907247208,6.53167671881965,6.13093979571457,5.56759542779301,4.88448223358871,11.0156878505048,9.88172449408105,8.92699897701306,1
38,8.22050894058452,7.59405729757509,6.53093535629932,6.13143667887394,5.56158604738888,4.88274009972951,11.0111253057692,9.86732942353356,8.92690138358187,1
39,8.21816900796307,7.58251885574464,6.53022313355223,6.13194983163728,5.55565517262328,4.88101613682266,11.0065883211434,9.85310492205523,8.92683259345987,1
